Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
9:26:42,130853.5013,25362.31887,2299.694468,828.7824347,150.0970873,306.5487529
9:27:52,111050.0168,21130.56561,1978.737462,626.5466252,131.8014892,286.1257847
9:29:02,119852.1537,23428.4025,2192.253225,777.9072952,135.4606088,306.5487529
9:30:12,107020.3163,20571.50694,1828.035219,625.3066754,128.1423695,184.0109436
9:31:22,116877.4027,23417.86019,2154.570691,837.4620832,117.1650106,224.8568801
9:32:32,93135.81812,18115.42999,1828.035219,542.180442,87.85546239,245.2798483
9:33:42,98142.60731,19337.31879,1855.941492,689.8212626,76.87810349,122.5378093
9:34:52,93161.0088,18147.07449,1754.078714,560.7920882,87.85546239,61.26890465
9:36:02,88901.54064,17197.70439,1807.102027,620.3468763,73.21898386,61.26890465
9:37:12,95504.48224,18697.36547,1953.620421,684.8614635,95.21029285,163.3837457
9:38:22,95716.68817,18901.30644,2102.941994,730.7644044,65.90074459,102.1148411
9:39:32,96212.10238,18992.72584,2123.875185,791.5591423,87.85546239,81.69187287
9:40:42,88217.58539,17709.32267,2015.025379,792.7990921,76.87810349,224.8568801
9:41:52,90423.64678,18264.86723,2242.487306,933.000214,124.4832499,81.69187287
9:43:02,94210.61801,19194.90976,2362.494042,1117.864327,106.1876517,122.5378093
9:44:12,93819.01047,19310.94544,2465.751437,1088.080733,146.4379677,163.3837457
9:45:22,91969.43309,18614.73133,2596.929051,1243.173652,179.4066356,102.1148411
9:46:32,89197.71806,18282.45531,2478.31693,1207.190309,139.1197284,102.1148411
9:47:42,88986.27501,18329.93085,2610.875214,1240.693753,208.6795927,204.4339119
9:48:52,91332.03712,18815.15821,2740.658212,1294.036392,186.7248749,204.4339119
9:50:02,95224.33317,19629.16505,2948.581563,1476.420606,197.7022338,245.2798483
9:51:12,90056.48229,18906.5776,2758.802171,1508.6717,256.2847391,102.1148411
9:52:22,96585.38526,20909.05412,3174.634927,1569.466437,230.6709017,122.5378093
9:53:32,91628.9698,19574.66131,3075.561382,1615.381778,263.6029784,184.0109436
9:54:42,91906.07494,19845.40539,3107.66545,1666.244518,263.6029784,286.1257847
9:55:52,91954.16,20309.54813,3131.387874,1823.817336,307.5490052,265.7028165
9:57:02,89512.9754,19191.39566,3134.177107,1741.931053,358.8132712,286.1257847
9:58:12,91538.90282,20093.29022,3247.210762,1832.496985,362.4723908,367.8176576
9:59:22,92179.35035,20270.85785,3270.933186,1729.519155,340.517673,163.3837457
10:00:32,87931.33319,19126.34961,3092.310724,1552.094741,219.6935428,204.4339119
10:01:42,86351.9644,18723.73881,2896.952866,1566.986538,311.2081248,163.3837457
10:02:52,86119.14512,18562.00222,2895.55825,1512.403948,212.3387123,204.4339119
10:04:02,84532.15504,18310.58571,2882.992756,1430.517665,164.7701571,184.0109436
10:05:12,85319.92458,18363.3324,2827.18021,1527.283346,234.3300213,286.1257847
10:06:22,84051.24341,17665.36124,2829.969443,1468.968508,307.5490052,265.7028165
10:07:32,83219.19564,17663.60418,2769.959101,1457.80896,289.253407,265.7028165
10:08:42,80078.79034,16497.99375,2760.196787,1367.243027,230.6709017,265.7028165
10:09:52,79558.94834,16628.08585,2490.868477,1366.003078,241.6482606,286.1257847
10:11:02,76490.30063,15606.62392,2368.072508,1198.510661,267.262098,306.5487529
10:12:12,78085.69015,15569.70827,2323.416892,1135.223624,237.9891409,184.0109436
10:13:22,78445.99624,15935.40341,2264.815113,1234.481604,241.6482606,265.7028165
10:14:32,75432.30724,14968.44523,2114.098924,959.0515589,168.4292767,163.3837457
10:15:42,74830.79007,14395.29501,2016.419995,947.8796114,131.8014892,81.69187287
10:16:52,72514.79599,14639.68331,2013.630763,822.5702863,102.5285321,142.9607775
10:18:02,73171.27188,13832.70467,2031.774721,859.7935788,106.1876517,81.69187287
10:19:12,67805.71764,13120.6771,1798.734329,781.639544,65.90074459,184.0109436
10:20:22,69814.07566,13663.93987,1848.96841,753.0959,84.19634275,122.5378093
10:21:32,69240.80073,13270.11433,1807.102027,842.4218824,109.8467714,122.5378093
10:22:42,67353.81877,12781.37287,1798.734329,791.5591423,124.4832499,122.5378093
10:23:52,71756.03159,13720.20066,1854.546876,821.3303366,142.7788481,224.8568801
10:25:02,69272.86507,13277.16011,1730.35629,748.1361009,139.1197284,142.9607775
10:26:12,65673.68725,12456.12505,1698.252221,780.3871947,153.7927982,204.4339119
10:27:22,65371.40669,12234.59599,1606.165704,738.2041031,113.505891,81.69187287
10:28:32,64537.07025,12148.44776,1724.777824,720.8448062,128.1423695,204.4339119
10:29:42,64874.46671,12206.4656,1661.97825,688.5813128,109.8467714,122.5378093
10:30:52,64730.95916,11995.49642,1617.322635,709.6728586,113.505891,102.1148411
10:32:02,65115.68542,12083.40171,1606.165704,688.5813128,124.4832499,224.8568801
10:33:12,68527.84035,12878.06342,1655.005168,769.2276467,124.4832499,122.5378093
10:34:22,65618.73617,12057.02836,1532.195253,717.1125573,142.7788481,81.69187287
10:35:32,66827.10312,12055.27131,1575.456252,724.5646555,120.8241303,61.26890465
10:36:42,67692.74101,12136.1484,1657.794401,669.9696666,102.5285321,102.1148411
10:37:52,66817.18553,12334.81822,1645.228908,651.3580203,117.1650106,163.3837457
10:39:02,68702.64934,12500.06891,1533.589869,590.5632825,109.8467714,122.5378093
10:40:12,67842.35932,12211.75432,1452.660282,574.4439353,84.19634275,122.5378093
10:41:22,69334.69744,12361.19156,1514.06524,574.4439353,73.21898386,61.26890465
10:42:32,70917.1178,12827.07378,1576.850868,575.6838851,84.19634275,40.84593644
10:43:42,71325.50895,12923.7819,1477.777323,558.3121886,87.85546239,122.5378093
10:44:52,69397.2927,12438.53697,1438.700172,487.585453,47.60514642,40.84593644
10:46:02,69133.93487,12104.5039,1408.004667,539.7005424,76.87810349,20.42296822
10:47:12,70254.53115,12494.79776,1398.242352,507.4370491,58.58250532,40.84593644
10:48:22,70223.9926,12204.70855,1402.426201,492.5576517,69.55986422,81.69187287
10:49:32,74058.28599,12964.21165,1476.382706,526.0486953,76.87810349,81.69187287
10:50:42,72633.87575,12791.91518,1515.459856,570.7116865,58.58250532,81.69187287
10:51:52,72146.09809,12487.76955,1348.008271,503.7171997,58.58250532,81.69187287
10:53:02,69630.87486,12157.25058,1334.048162,425.5507654,80.53722312,20.42296822
10:54:12,72817.08418,12554.57265,1384.282242,437.9626627,58.58250532,81.69187287
10:55:22,75288.02917,12837.63366,1511.262061,483.8656037,69.55986422,122.5378093
10:56:32,75559.78644,13113.64889,1416.372365,457.8142588,62.24162496,40.84593644
10:57:42,73851.41266,12962.4546,1414.977748,394.5396214,51.26426606,102.1148411
10:58:52,77926.15425,13503.94275,1426.148625,419.3510165,58.58250532,20.42296822
11:00:02,78981.09607,13579.54868,1392.649941,421.8309161,51.26426606,102.1148411
11:01:12,75166.66074,13147.05044,1341.021243,416.8711169,36.62778753,40.84593644
11:02:22,75046.8181,12985.31384,1346.599709,425.5507654,36.62778753,40.84593644
11:03:32,80207.03242,13764.14452,1481.961172,416.8711169,51.26426606,40.84593644
11:04:42,79271.93325,13438.8967,1314.509587,433.0028636,43.94602679,102.1148411
11:05:52,80568.85667,13788.76081,1498.710514,410.671368,62.24162496,61.26890465
11:07:02,77933.0279,13310.56166,1458.238748,413.1512676,47.60514642,0
11:08:12,79794.82681,13366.82245,1299.154861,454.0944094,32.96866789,20.42296822
11:09:22,77771.1957,13324.61807,1382.887626,362.276128,29.27295706,20.42296822
11:10:32,82033.72306,13772.92978,1352.19212,389.5798222,43.94602679,40.84593644
11:11:42,78932.24812,13187.49777,1301.958039,367.2483266,25.61383743,61.26890465
11:12:52,80671.14518,13199.79713,1320.088052,405.6991694,40.28690716,81.69187287
11:14:02,82397.83598,13788.76081,1448.476433,408.1914685,65.90074459,0
11:15:12,81356.63384,13649.86588,1327.07508,437.9626627,29.27295706,61.26890465
11:16:22,79328.41775,13192.76892,1378.703777,369.7282262,58.58250532,20.42296822
11:17:32,82800.124,13848.5357,1328.469696,383.3676738,65.90074459,20.42296822
11:18:42,82077.23077,13794.03196,1409.399283,437.9626627,25.61383743,40.84593644
11:19:52,82481.80746,13725.47181,1389.860708,428.0430645,51.26426606,40.84593644
11:21:02,82048.22563,13941.71215,1459.633364,411.9113178,47.60514642,81.69187287
11:22:12,82721.49276,13588.33394,1424.754009,379.6478245,32.96866789,40.84593644
11:23:22,82590.19911,13802.81722,1461.02798,429.2830143,43.94602679,40.84593644
11:24:32,82037.53752,13845.0216,1474.98809,434.2428134,29.27295706,40.84593644
11:25:42,82723.78144,13846.77865,1438.700172,413.1512676,29.27295706,61.26890465
11:26:52,85196.25985,14458.60158,1522.432938,467.733857,54.92338569,40.84593644
11:28:02,82903.16778,14121.03683,1486.145021,475.1859552,62.24162496,40.84593644
11:29:12,87554.23585,14775.04656,1565.693937,517.3690468,84.19634275,122.5378093
11:30:22,84407.72742,14286.3051,1447.081817,506.1970993,95.21029285,81.69187287
11:31:32,82629.12947,14026.10333,1526.616787,475.1859552,51.26426606,81.69187287
11:32:42,86195.47243,14558.80623,1515.459856,522.328846,98.86941248,81.69187287
11:33:52,82522.25598,14059.50488,1459.633364,428.0430645,73.21898386,102.1148411
11:35:02,80654.35394,13688.55616,1504.288979,451.6145098,58.58250532,81.69187287
11:36:12,82419.9751,13852.04981,1606.165704,512.4092477,40.28690716,81.69187287
11:37:22,82926.8403,14075.33592,1454.054898,504.9571495,47.60514642,81.69187287
11:38:32,82721.49276,14142.13902,1555.917677,485.1055535,62.24162496,81.69187287
