LogDat2 Data File			
			
2/10/2015	14:59:27	0	59.6
2/10/2015	14:59:37	0	59.6
			
Model Number:	9545		
Serial Number:	T95451437005		
Test ID:	3		
Test Abbreviation:	Test 003		
Start Date:	2/10/2015		
Start Time:	15:00:52		
Duration (dd:hh:mm:ss):	0:00:03:24		
Log Interval (mm:ss):	0:03		
Number of points:	68		
Notes:	Test 003		
			
Reading Type	Standard		
	Temperature	21.1deg C	
	Pressure	1013.2hPa	
			
Statistics	Channel:	Vel	H
	Units:	m/s	%rh
	Average:	0.01	60.3
	Minimum:	0	59.8
	Time of Minimum:	15:00:55	15:00:55
	Date of Minimum:	2/10/2015	2/10/2015
	Maximum:	0.11	62
	Time of Maximum:	15:04:10	15:03:25
	Date of Maximum:	2/10/2015	2/10/2015
			
Calibration	Meter:	9/12/2014	
Calibration	Sensor:		
	Cal. Date		
			
Date	Time	Vel	H
MM/dd/yyyy	hh:mm:ss	m/s	%rh
2/10/2015	15:00:55	0	59.8
2/10/2015	15:00:58	0	59.8
2/10/2015	15:01:01	0	59.8
2/10/2015	15:01:04	0	59.9
2/10/2015	15:01:07	0	59.9
2/10/2015	15:01:10	0	59.9
2/10/2015	15:01:13	0	59.9
2/10/2015	15:01:16	0	59.9
2/10/2015	15:01:19	0	59.9
2/10/2015	15:01:22	0	59.9
2/10/2015	15:01:25	0	59.9
2/10/2015	15:01:28	0	59.9
2/10/2015	15:01:31	0	60
2/10/2015	15:01:34	0	60
2/10/2015	15:01:37	0	60
2/10/2015	15:01:40	0	60
2/10/2015	15:01:43	0	60
2/10/2015	15:01:46	0	60
2/10/2015	15:01:49	0	60
2/10/2015	15:01:52	0	60
2/10/2015	15:01:55	0	60.1
2/10/2015	15:01:58	0	60.1
2/10/2015	15:02:01	0	60.1
2/10/2015	15:02:04	0	60.1
2/10/2015	15:02:07	0	60.1
2/10/2015	15:02:10	0	60.1
2/10/2015	15:02:13	0	60.1
2/10/2015	15:02:16	0	60.1
2/10/2015	15:02:19	0	60.1
2/10/2015	15:02:22	0	60.1
2/10/2015	15:02:25	0	60.1
2/10/2015	15:02:28	0	60.1
2/10/2015	15:02:31	0	60.1
2/10/2015	15:02:34	0	60.1
2/10/2015	15:02:37	0	60.1
2/10/2015	15:02:40	0	60.2
2/10/2015	15:02:43	0	60.2
2/10/2015	15:02:46	0	60.2
2/10/2015	15:02:49	0	60.2
2/10/2015	15:02:52	0	60.2
2/10/2015	15:02:55	0	60.2
2/10/2015	15:02:58	0	60.2
2/10/2015	15:03:01	0	60.2
2/10/2015	15:03:04	0	60.2
2/10/2015	15:03:07	0	60.2
2/10/2015	15:03:10	0	60.2
2/10/2015	15:03:13	0	60.3
2/10/2015	15:03:16	0	60.3
2/10/2015	15:03:19	0	60.6
2/10/2015	15:03:22	0.01	61.5
2/10/2015	15:03:25	0.01	62
2/10/2015	15:03:28	0.01	61.8
2/10/2015	15:03:31	0.01	61.5
2/10/2015	15:03:34	0	61.4
